attributes,basePeriod,dimensions,footnotes,geoAreaCode,geoAreaName,geoInfoUrl,goal,indicator,lowerBound,series,seriesCount,seriesDescription,source,target,timeCoverage,timePeriodStart,time_detail,upperBound,value,valueType
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2021.0,,,288131.9948,Float
"{'Nature': 'N', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],53,Australia and New Zealand,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),UNITAR / WESR,['12.5'],,2022.0,,,292362.342,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2005.0,,,14105,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2006.0,,,49773,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2007.0,,,50772,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2008.0,,,59575,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2009.0,,,59722,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2010.0,,,59347,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2011.0,,,61528,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2012.0,,,61914,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2013.0,,,60698,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2014.0,,,61907,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2015.0,,,65090,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2016.0,,,69381,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2017.0,,,93454,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2018.0,,,92927,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2019.0,,,108937,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2020.0,,,114818,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2021.0,,,112938,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2022.0,,,114929,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],40,Austria,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),Eurostat,['12.5'],,2023.0,,,120672,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],50,Bangladesh,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Planning, Bangladesh",['12.5'],,2019.0,,,160950,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],50,Bangladesh,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Planning, Bangladesh",['12.5'],,2020.0,,,158629.1,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],50,Bangladesh,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"Ministry of Planning, Bangladesh",['12.5'],,2021.0,,,165906.6,Float
"{'Nature': 'C', 'Units': 'TONNES', 'Observation Status': 'A'}",,{'Reporting Type': 'G'},[],52,Barbados,,['12'],['12.5.1'],,EN_EWT_RCYV,1093,Electronic waste recycled (Tonnes),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",['12.5'],,2012.0,,,9090,Float
