Country,Year,Value,Series,Series Description
Ecuador,2008.0,21446,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2009.0,29890,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2010.0,28390,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2011.0,26884,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2012.0,39937,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2013.0,56459,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2014.0,73000,EN_EWT_GENV,E-waste generated (tonnes)
Ecuador,2015.0,76504,EN_EWT_GENV,E-waste generated (tonnes)
Estonia,2021.0,17271,EN_EWT_GENV,E-waste generated (tonnes)
Estonia,2022.0,17889,EN_EWT_GENV,E-waste generated (tonnes)
Estonia,2023.0,18510,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2010.0,9738465.168,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2011.0,10150978.31,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2012.0,10535244.61,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2013.0,10886288.77,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2014.0,11205729.32,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2015.0,11497734.26,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2016.0,11771160.73,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2017.0,12027692.65,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2018.0,12278199.85,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2019.0,12513033.62,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2020.0,12717506.28,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2021.0,12904458.22,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2022.0,13075984.7,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2023.0,13255058.63,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2024.0,13432673.77,EN_EWT_GENV,E-waste generated (tonnes)
Europe,2025.0,13603790.55,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2010.0,15433296.26,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2011.0,16154827.23,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2012.0,16836519.39,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2013.0,17464560.26,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2014.0,18024555.76,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2015.0,18526527.7,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2016.0,18989036.68,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2017.0,19395725.33,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2018.0,19773933.1,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2019.0,20133674.68,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2020.0,20454652.35,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2021.0,20754133.49,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2022.0,21038762.87,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2023.0,21330322.81,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2024.0,21627505.65,EN_EWT_GENV,E-waste generated (tonnes)
Europe and Northern America,2025.0,21928299.92,EN_EWT_GENV,E-waste generated (tonnes)
Finland,2021.0,116207,EN_EWT_GENV,E-waste generated (tonnes)
Finland,2022.0,116767,EN_EWT_GENV,E-waste generated (tonnes)
Finland,2023.0,120989,EN_EWT_GENV,E-waste generated (tonnes)
Georgia,2021.0,29000,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2009.0,3400,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2010.0,3600,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2011.0,3500,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2012.0,3300,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2013.0,3100,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2014.0,3200,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2015.0,3300,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2016.0,2900,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2017.0,3000,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2018.0,2900,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2019.0,2700,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2020.0,4520,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2021.0,6680,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2022.0,5700,EN_EWT_GENV,E-waste generated (tonnes)
Honduras,2023.0,6390,EN_EWT_GENV,E-waste generated (tonnes)
Hungary,2019.0,102490,EN_EWT_GENV,E-waste generated (tonnes)
Hungary,2020.0,106858,EN_EWT_GENV,E-waste generated (tonnes)
Hungary,2021.0,136187,EN_EWT_GENV,E-waste generated (tonnes)
Hungary,2022.0,138983,EN_EWT_GENV,E-waste generated (tonnes)
Hungary,2023.0,152284,EN_EWT_GENV,E-waste generated (tonnes)
